,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback_score,avg_set_margin,tiebreaks_count,lead_changes,bp_saved_ratio,bp_total
91,Wimbledon,20160627,F,168.0,6-4 7-6(3) 7-6(2),Andy Murray,Milos Raonic,0.5143609474752648,0,1.3333333333333333,2,0,0.8888888888888888,9.0
92,Wimbledon,19740624,SF,182.4,6-8 4-6 9-8 6-1 6-3,Ken Rosewall,Stan Smith,0.5142212178775719,3,2.6,0,1,0.625,0.0
93,Australian Open,20010115,SF,187.0,7-5 2-6 6-7(5) 6-2 6-3,Andre Agassi,Patrick Rafter,0.5142032158001081,2,2.8,1,2,0.6,15.0
94,Australian Open,20020114,SF,171.0,7-6(5) 0-6 4-6 6-3 6-4,Thomas Johansson,Jiri Novak,0.5139066848800478,2,2.8,1,2,0.6666666666666666,21.0
95,Roland Garros,20070528,SF,181.0,7-5 7-6(5) 7-6(7),Roger Federer,Nikolay Davydenko,0.5134256942072911,0,1.3333333333333333,2,0,0.78125,32.0
96,Australian Open,20200120,SF,222.0,3-6 6-4 7-6(3) 7-6(4),Dominic Thiem,Alexander Zverev,0.5133527462982416,0,1.75,2,1,0.6086956521739131,23.0
97,Roland Garros,20000529,SF,218.0,7-5 4-6 2-6 6-4 6-3,Gustavo Kuerten,Juan Carlos Ferrero,0.5118199422641371,2,2.6,0,2,0.8048780487804879,41.0
98,US Open,19810901,SF,153.60000000000002,5-7 6-3 6-2 4-6 6-3,John McEnroe,Vitas Gerulaitis,0.5097933741711489,2,2.8,0,3,0.625,0.0
99,Roland Garros,19680527,SF,153.60000000000002,3-6 6-3 7-5 3-6 6-3,Ken Rosewall,Andres Gimeno,0.5097933741711489,2,2.8,0,3,0.625,0.0
100,Wimbledon,19790625,F,153.60000000000002,6-7 6-1 3-6 6-3 6-4,Bjorn Borg,Roscoe Tanner,0.5097933741711489,2,2.8,0,3,0.625,0.0
101,Roland Garros,19840528,F,163.20000000000002,3-6 2-6 6-4 7-5 7-5,Ivan Lendl,John McEnroe,0.5077053807734995,3,2.6,0,1,0.625,0.0
102,Roland Garros,19910527,F,205.0,3-6 6-4 2-6 6-1 6-4,Jim Courier,Andre Agassi,0.5070015536512138,2,3.2,0,3,0.65625,32.0
103,Australian Open,19880111,SF,140.8,6-0 6-7 6-3 3-6 6-1,Mats Wilander,Stefan Edberg,0.5051664639005095,2,3.6,0,4,0.625,0.0
104,Wimbledon,19880620,SF,150.4,4-6 2-6 6-4 6-3 6-4,Stefan Edberg,Miloslav Mecir Sr.,0.5033614893707845,3,2.6,0,1,0.625,0.0
105,Australian Open,19841126,SF,150.4,2-6 4-6 6-3 6-4 6-4,Kevin Curren,Ben Testerman,0.5033614893707845,3,2.6,0,1,0.625,0.0
106,US Open,19710901,SF,163.20000000000002,7-6 3-6 4-6 6-3 6-4,Jan Kodes,Arthur Ashe,0.5020135568741284,2,2.2,0,2,0.625,0.0
107,Australian Open,20200120,F,239.0,6-4 4-6 2-6 6-3 6-4,Novak Djokovic,Dominic Thiem,0.5018876960072853,2,2.6,0,2,0.5833333333333334,24.0
108,US Open,20000828,SF,156.0,7-6(7) 6-4 7-6(5),Pete Sampras,Lleyton Hewitt,0.5007291727140784,0,1.3333333333333333,2,0,0.8,15.0
109,US Open,20200831,SF,203.0,3-6 2-6 6-3 6-4 6-3,Alexander Zverev,Pablo Carreno Busta,0.49705092182774874,3,3.0,0,1,0.6052631578947368,38.0
110,US Open,19950828,SF,147.20000000000002,7-6(4) 7-6(2) 4-6 6-4,Andre Agassi,Boris Becker,0.49623668857964087,0,1.5,2,2,0.8095238095238095,21.0
