tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-8998,Adelaide,Hard,28,250,O,20260114,16,HH26,,,Ugo Humbert,L,188,FRA,27.554,36,1355,GJ37,4,,Tallon Griekspoor,R,188,NED,29.536,25,1565,6-4 6-1,3,R16,78,3,2,52,30,24,13,9,4,5,2,4,56,42,22,6,8,4,8
2026-8998,Adelaide,Hard,28,250,O,20260114,17,VA25,5,,Valentin Vacherot,R,193,MON,27.162,32,1469,KD46,,,Thanasi Kokkinakis,R,193,AUS,29.763,,,W/O,3,R16,133,7,1,91,54,39,25,16,1,3,14,10,101,60,44,19,15,2,6
2026-8998,Adelaide,Hard,28,250,O,20260114,18,M0FH,8,,Tomas Machac,R,183,CZE,25.254,35,1360,HB64,,,Quentin Halys,R,191,FRA,29.218,85,697,6-4 6-2,3,R16,74,6,2,59,40,29,9,9,1,2,4,1,56,33,22,9,9,2,6
2026-8998,Adelaide,Hard,28,250,O,20260114,19,S0H2,,,Alexander Shevchenko,R,188,KAZ,25.125,104,597,F724,,,Marton Fucsovics,R,188,HUN,33.933,55,949,6-3 7-6(6),3,R16,100,9,0,63,45,39,11,11,3,3,7,0,74,46,34,15,10,9,10
2026-8998,Adelaide,Hard,28,250,O,20260114,20,V832,,,Aleksandar Vukic,R,188,AUS,29.774,87,693,VA08,,,Andrea Vavassori,R,193,ITA,30.697,336,147,6-2 7-6(5),3,R16,105,7,0,63,36,30,15,10,1,2,8,6,78,51,37,8,10,8,11
2026-301,Auckland,Hard,32,250,O,20260115,21,GC88,,,Marcos Giron,R,180,USA,32.479,60,895,D0FJ,4,,Luciano Darderi,R,183,ITA,23.918,24,1579,1-6 7-5 6-4,3,QF,155,8,4,88,56,37,13,14,6,11,12,1,93,47,36,20,15,5,10
2026-8998,Adelaide,Hard,28,250,O,20260115,21,M0FH,8,,Tomas Machac,R,183,CZE,25.257,35,1360,MU94,,,Jaume Munar,R,183,ESP,28.698,38,1295,6-4 6-4,3,QF,90,2,0,61,37,28,16,10,4,4,4,0,59,41,28,10,10,4,6
2026-8998,Adelaide,Hard,28,250,O,20260115,22,PL56,2,,Tommy Paul,R,185,USA,28.665,21,2000,V832,,,Aleksandar Vukic,R,188,AUS,29.777,87,693,6-3 6-2,3,QF,62,9,0,48,26,20,15,9,0,1,1,2,51,28,17,7,8,3,7
2026-8998,Adelaide,Hard,28,250,O,20260115,23,HH26,,,Ugo Humbert,L,188,FRA,27.556,36,1355,S0H2,,,Alexander Shevchenko,R,188,KAZ,25.128,104,597,6-0 6-3,3,QF,57,7,1,44,33,28,7,8,3,3,1,4,41,28,15,3,7,3,7
2026-8998,Adelaide,Hard,28,250,O,20260115,24,DH50,1,,Alejandro Davidovich Fokina,R,180,ESP,26.615,15,2585,VA25,5,,Valentin Vacherot,R,193,MON,27.165,32,1469,7-6(4) 6-2,3,QF,92,3,1,62,46,35,11,10,0,1,15,4,65,49,32,8,10,2,5
2026-301,Auckland,Hard,32,250,O,20260116,24,B0BI,7,,Sebastian Baez,R,170,ARG,25.051,39,1250,S0S1,1,,Ben Shelton,L,193,USA,23.272,8,3960,7-5 6-3,3,QF,98,0,1,61,49,33,6,10,3,5,6,1,73,53,29,8,11,6,11
2026-301,Auckland,Hard,32,250,O,20260116,25,M0NI,3,,Jakub Mensik,R,196,CZE,20.375,18,2125,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.527,63,865,6-4 6-2,3,QF,65,8,3,43,27,23,9,9,0,1,5,2,51,33,19,7,9,5,9
2026-301,Auckland,Hard,32,250,O,20260116,26,M0CI,,,Fabian Marozsan,R,193,HUN,26.275,52,975,S0JA,,,Eliot Spizzirri,R,185,USA,24.066,89,672,6-4 2-6 6-2,3,QF,104,9,2,73,52,35,8,13,2,6,5,1,66,34,26,15,13,2,7
2026-301,Auckland,Hard,32,250,O,20260116,22,M0NI,3,,Jakub Mensik,R,196,CZE,20.375,18,2125,M0CI,,,Fabian Marozsan,R,193,HUN,26.275,52,975,7-6(9) 4-6 6-1,3,SF,127,16,5,98,58,43,21,15,5,8,3,2,96,64,45,15,14,3,7
2026-301,Auckland,Hard,32,250,O,20260116,23,B0BI,7,,Sebastian Baez,R,170,ARG,25.051,39,1250,GC88,,,Marcos Giron,R,180,USA,32.482,60,895,6-1 6-4,3,SF,87,5,1,52,43,30,7,9,1,2,3,4,80,47,29,11,8,11,15
2026-8998,Adelaide,Hard,28,250,O,20260116,25,M0FH,8,,Tomas Machac,R,183,CZE,25.259,35,1360,PL56,2,,Tommy Paul,R,185,USA,28.668,21,2000,2-6 6-3 6-3,3,SF,111,8,2,84,51,40,14,13,2,4,3,0,82,49,31,18,13,5,8
2026-8998,Adelaide,Hard,28,250,O,20260116,26,HH26,,,Ugo Humbert,L,188,FRA,27.559,36,1355,DH50,1,,Alejandro Davidovich Fokina,R,180,ESP,26.617,15,2585,6-3 5-7 7-6(4),3,SF,152,10,2,101,68,53,18,17,0,1,5,2,103,73,51,18,16,2,3
2026-301,Auckland,Hard,32,250,O,20260117,27,M0NI,3,,Jakub Mensik,R,196,CZE,20.378,18,2125,B0BI,7,,Sebastian Baez,R,170,ARG,25.054,39,1250,6-3 7-6(7),3,F,82,18,3,67,41,39,9,11,1,2,2,3,65,52,35,6,10,3,5
2026-8998,Adelaide,Hard,28,250,O,20260117,27,M0FH,8,,Tomas Machac,R,183,CZE,25.262,35,1360,HH26,,,Ugo Humbert,L,188,FRA,27.562,36,1355,6-4 6-7(2) 6-2,3,F,143,5,1,98,67,49,18,15,3,4,8,3,97,60,45,15,15,8,12
2026-580,Australian Open,Hard,128,G,O,20260118,1,F0DM,,,Arthur Fery,R,175,GBR,23.521,186,316,C0E9,20,,Flavio Cobolli,R,183,ITA,23.704,22,1955,7-6(1) 6-4 6-1,5,R128,134,6,0,85,60,42,13,0,3,6,7,8,83,48,30,12,0,4,10
2026-580,Australian Open,Hard,128,G,O,20260118,2,MW02,32,,Corentin Moutet,L,180,FRA,26.752,37,1383,S0N0,,,Tristan Schoolkate,R,183,AUS,24.893,98,641,6-4 7-6(1) 6-3,5,R128,157,6,4,104,61,45,25,0,6,8,8,4,95,56,38,16,0,4,8
2026-580,Australian Open,Hard,128,G,O,20260118,3,EA24,,,Tomas Martin Etcheverry,R,196,ARG,26.505,62,895,KI95,,,Miomir Kecmanovic,R,183,SRB,26.385,60,910,6-2 3-6 4-6 6-3 6-4,5,R128,237,20,5,120,76,66,26,0,4,6,8,4,164,104,73,29,0,13,17
2026-580,Australian Open,Hard,128,G,O,20260118,4,C0AU,18,,Francisco Cerundolo,R,185,ARG,27.433,21,2035,Z371,,,Zhizhen Zhang,R,193,CHN,29.257,368,130,6-3 7-6(0) 6-3,5,R128,128,7,2,86,56,45,19,0,0,2,8,1,99,66,42,14,0,6,10
2026-580,Australian Open,Hard,128,G,O,20260118,5,Z355,3,,Alexander Zverev,R,198,GER,28.747,3,5105,D0F6,,,Gabriel Diallo,R,203,CAN,24.318,41,1215,6-7(1) 6-1 6-4 6-2,5,R128,165,15,1,98,73,61,14,0,1,2,10,5,112,81,57,12,0,2,8
2026-580,Australian Open,Hard,128,G,O,20260118,6,C0DF,,,Francisco Comesana,R,178,ARG,25.284,68,829,K0A3,,,Patrick Kypson,R,188,USA,26.226,116,527,6-2 6-3 3-6 6-3,5,R128,168,20,5,103,98,72,0,0,1,2,12,7,118,111,68,0,0,6,10
2026-580,Australian Open,Hard,128,G,O,20260118,7,D923,,,Damir Dzumhur,R,175,BIH,33.665,66,837,D0DP,,,Liam Draxl,R,185,CAN,24.12,145,429,7-5 6-0 6-4,5,R128,133,6,3,91,76,52,9,0,6,8,5,4,98,70,41,9,0,5,12
2026-580,Australian Open,Hard,128,G,O,20260118,8,N0AM,,,Emilio Nava,R,185,USA,24.129,89,683,J0AZ,,,Kyrian Jacquet,R,175,FRA,24.69,128,477,6-2 7-5 6-7(5) 4-6 7-6(6),5,R128,215,27,6,159,110,87,28,0,5,8,19,6,179,103,79,40,0,6,11
2026-580,Australian Open,Hard,128,G,O,20260118,9,TD51,29,,Frances Tiafoe,R,188,USA,27.995,34,1500,KB95,,,Jason Kubler,R,178,AUS,32.668,194,305,7-6(4) 6-3 6-2,5,R128,136,23,5,108,64,50,22,0,5,6,9,3,81,59,41,10,0,2,6
2026-580,Australian Open,Hard,128,G,O,20260118,10,F0F2,,,Jaime Faria,R,188,POR,22.453,151,413,B0PG,,,Alexander Blockx,R,193,BEL,20.78,96,653,6-3 3-6 6-3 6-4,5,R128,145,5,2,114,64,46,30,0,3,5,8,2,100,56,44,23,0,4,8
2026-580,Australian Open,Hard,128,G,O,20260118,11,F724,,,Marton Fucsovics,R,188,HUN,33.944,54,967,U182,,,Camilo Ugo Carabelli,R,185,ARG,26.59,49,1028,7-6(5) 6-1 6-2,5,R128,146,1,5,92,54,37,20,0,2,5,1,4,95,61,31,15,0,5,12
2026-580,Australian Open,Hard,128,G,O,20260118,12,Z0BZ,,,Michael Zheng,R,188,USA,21.977,174,337,K0AH,,,Sebastian Korda,R,196,USA,25.539,53,975,6-4 6-4 3-6 6-7(0) 6-3,5,R128,224,4,0,174,115,79,34,0,6,7,22,5,142,89,71,31,0,4,8
2026-580,Australian Open,Hard,128,G,O,20260118,13,BK92,10,,Alexander Bublik,R,196,KAZ,28.589,10,3065,B0CD,,,Jenson Brooksby,R,193,USA,25.229,48,1042,6-4 6-4 6-4,5,R128,127,13,4,94,69,51,12,0,7,8,4,1,97,61,38,20,0,7,11
